종목코드,종목명,추정수량,현재가,평가금액,비중(%),등락률(%),지분율(%),업종,기준일
272450,진에어,2092467,4990.0,10441410330,0.0026,0.20080321285140812,5.01,,2026-07-22
215200,메가스터디교육,273973,38100.0,10438371300,0.0026,1.0610079575596787,2.38,,2026-07-22
093320,케이아이엔엑스,81046,128700.0,10430620200,0.0026,1.7391304347825987,1.66,,2026-07-22
383800,LX홀딩스,1355685,7660.0,10384547100,0.0026,1.1889035667107084,1.78,,2026-07-22
206640,바디텍메드,989273,10440.0,10328010120,0.0025,0.19193857965451588,4.2,,2026-07-22
161000,애경케미칼,1200586,8570.0,10289022020,0.0025,-0.9248554913294793,2.47,,2026-07-22
031430,신세계인터내셔날,930693,11050.0,10284157650,0.0025,-2.3851590106007015,2.61,,2026-07-22
005810,풍산홀딩스,309478,33200.0,10274669600,0.0025,0.0,2.15,,2026-07-22
080220,제주반도체,134529,75000.0,10089675000,0.0025,-4.214559386973182,0.38,,2026-07-22
293940,신한알파리츠,1914894,5200.0,9957448800,0.0025,0.19267822736031004,1.58,,2026-07-22
018290,브이티,902500,11030.0,9954575000,0.0025,-1.429848078641649,2.52,,2026-07-22
295310,에이치브이엠,253061,39200.0,9919991200,0.0024,1.2919896640826822,2.12,,2026-07-22
039200,오스코텍,336756,29300.0,9866950800,0.0024,-2.819237147595355,0.88,,2026-07-22
002960,한국쉘석유,19466,497000.0,9674602000,0.0024,-0.4008016032064132,1.51,,2026-07-22
051905,LG생활건강우,101744,94500.0,9614808000,0.0024,4.074889867841414,4.84,화학,2026-07-22
214430,아이쓰리시스템,164444,58300.0,9587085200,0.0024,4.667863554757634,2.33,,2026-07-22
033270,유나이티드제약,543657,16980.0,9231295860,0.0023,-0.17636684303351524,3.33,,2026-07-22
348950,제이알글로벌리츠,7803993,1182.0,9224319726,0.0023,0.0,3.95,,2026-07-22
002310,아세아제지,1260274,7290.0,9187397460,0.0023,-0.6811989100817484,2.95,,2026-07-22
